name,loc,val,date
80,35.6322879375 139.6457618125,40.525,"Oct 19, 2011 5:51 AM"
408,35.6312477696077 139.655138684,39.4240196078431,"Jun 4, 2011 8:17 PM"
414,35.6414328140097 139.664464243,39.7971014492754,"Nov 9, 2011 6:08 AM"
876,35.65640972793 139.69877191019,36.8961187214612,"May 22, 2011 8:36 PM"
1631,35.6592837880645 139.698688958,35.2722256284488,"May 22, 2011 8:36 PM"
1636,35.6590514282803 139.704166551,33.9987775061125,"May 22, 2011 8:36 PM"
818,35.6592355460473 139.709759735,36.4621026894865,"May 22, 2011 8:37 PM"
1907,35.6591755672085 139.715939119,35.9622443628736,"May 22, 2011 8:31 AM"
4295,35.6597532394255 139.722482802,36.9061699650757,"May 22, 2011 8:32 AM"
774,35.6636064018088 139.721890415,37.468992248062,"Jun 17, 2011 12:52 PM"
754,35.6642046728558 139.727696947,38.0212201591512,"May 22, 2011 8:34 AM"
2244,35.6606366243316 139.727535092,36.1007130124777,"May 22, 2011 8:33 AM"
7583,35.6630345982241 139.732908725,36.4342608466306,"May 22, 2011 8:34 AM"
1176,35.6605561054421 139.737406648,38.3707482993197,"May 24, 2011 4:47 PM"
809,35.6582034713637 139.745344738,36.6402966625464,"Apr 23, 2011 10:39 PM"
223,35.6635742077728 139.745278789,36.762331838565,"Sep 10, 2011 12:35 PM"
575,35.6698021275362 139.749221860,39.7060869565217,"Apr 23, 2011 10:36 PM"
221,35.6686077450981 139.756369819,40.5475113122172,"Jul 7, 2011 11:24 AM"
246,35.6681029065041 139.760227459,37.7682926829268,"Aug 9, 2011 11:14 AM"
174,35.6689481321839 139.767744454,42.5344827586207,"Apr 23, 2011 10:29 PM"
226,35.6728368805309 139.765874616,42.7699115044248,"Apr 23, 2011 10:31 PM"
108,35.6769418518518 139.767059814,37.4814814814815,"Aug 9, 2011 11:13 AM"
126,35.6776603306878 139.772924589,40.2619047619048,"Apr 24, 2011 10:59 AM"
341,35.6829450879766 139.772994780,42.2463343108504,"May 6, 2011 1:43 AM"
235,35.6857938014184 139.771989113,42.1021276595745,"May 6, 2011 1:43 AM"
155,35.6908325053763 139.772709892,38.4322580645161,"Sep 18, 2011 3:51 AM"
335,35.6960673134328 139.771817049,40.0537313432836,"May 1, 2011 10:36 AM"
1129,35.6994205373487 139.771667066,43.4853852967228,"May 1, 2011 10:35 AM"
205,35.7033170569106 139.772078016,42.0878048780488,"May 1, 2011 10:34 AM"
201,35.7085687562189 139.772860406,48.2537313432836,"May 1, 2011 11:23 AM"
53,35.7119293710691 139.774792830,45.8867924528302,"Jul 7, 2011 11:42 AM"
269,35.7132676332094 139.778713426,42.275092936803,"May 1, 2011 11:26 AM"
